extras_10uid_bi_strs,extras_title_en_txts,extras_pkuniqueidcode_bi_strs,extras_statusf_en_strs,Load to OLC,extras_productidnew_bi_strs,
primary126713,Residential Care Facilities,issue83f0001x1994000_12,Do not load to OLC,Do not load to OLC,83F0001X1994000,
primary126356,Demographic and Health Indicators: Presentation and Interpretation,publication82-543-x_12,Discontinued/Not available,Do not load to OLC,82-543-X,
primary129723,"1991 Census Geography: A Historical Comparison, 1991 Census (Reference Products: Geographic Reference Products: 1991 Census of Population)",publication92-311-x_12,Discontinued/Not available,Do not load to OLC,92-311-X,
primary125527,Canadian Export Classification : Based on the Harmonized System,publication12-578-x_12,Discontinued/Not available,Do not load to OLC,12-578-X,
primary126710,Canadian Workload Measurement System - Respiratory Technology/Pulmonary Function,publication83-603-x_12,Discontinued/Not available,Do not load to OLC,83-603-X,
primary124583,Provincial and Territorial Government Employment,issue72-007-x1988002_12,Do not load to OLC,Do not load to OLC,72-007-X1988002,
primary129107,"Profile of Persons with Disabilities (Limited at Work/Perception): Canada, Provinces and Territories",publication89f0038x_12,Discontinued/Not available,Do not load to OLC,89F0038X,
primary128811,"Language, Tradition, Health, Lifestyle and Social Issues",publication89-533-x_12,Ongoing/Available,Do not load to OLC,89-533-X,
primary133804,"Language, Tradition, Health, Lifestyle and Social Issues",issue89-533-x1991001_12,Do not load to OLC,Do not load to OLC,89-533-X1991001,
primary133814,Family Violence in Canada: A Statistical Profile,issue89-541-x1994001_12,Do not load to OLC,Do not load to OLC,89-541-X1994001,
primary126684,The Economic Benefits of Interprovincial Trade in Canada,publication15-514-x_12,Discontinued/Not available,Do not load to OLC,15-514-X,
primary128357,People in Canadian Agriculture,publication21-523-x_12,Discontinued/Not available,Do not load to OLC,21-523-X,
primary126686,Canada's Food Processing Industry (Industry Profiles),publication15-515-m_12,Discontinued/Not available,Do not load to OLC,15-515-M,
primary126687,Canada's Food Processing Industry,issue15-515-m1996001_12,Do not load to OLC,Do not load to OLC,15-515-M1996001,
primary128358,People in Canadian Agriculture,issue21-523-x1994001_12,Do not load to OLC,Do not load to OLC,21-523-X1994001,
primary126194,Earnings of Men and Women,issue13-577-x1979001_12,Do not load to OLC,Do not load to OLC,13-577-X1979001,
primary135114,Strategies for Success: A Profile of Growing Small and Medium-sized Enterprises (GSMEs) in Canada,issue61-523-x1994001_12,Do not load to OLC,Do not load to OLC,61-523-X1994001,
primary133370,Trends and Highlights of Canadian Agriculture and Its People: 1991 Census of Agriculture (Analytical Products: 1991 Census of Agriculture),issue96-303-x1991000_12,Do not load to OLC,Do not load to OLC,96-303-X1991000,
primary129108,"Profile of Persons with Disabilities (Limited at Work/Perception): Canada, Provinces and Territories",issue89f0038x1991000_12,Do not load to OLC,Do not load to OLC,89F0038X1991000,
primary126677,"The Input-Output Structure of the Canadian Economy, 1961-1981 (Revised Data)",publication15-510-x_12,Discontinued/Not available,Do not load to OLC,15-510-X,
primary126679,"The Input-Output Structure of the Canadian Economy in Constant Prices, 1961-1981 (Revised Data)",publication15-511-x_12,Discontinued/Not available,Do not load to OLC,15-511-X,
primary126680,"The Input-Output Structure of the Canadian Economy in Constant Prices, 1961-1981 (Revised Data)",issue15-511-x1981001_12,Do not load to OLC,Do not load to OLC,15-511-X1981001,
primary126685,The Economic Benefits of Interprovincial Trade in Canada,issue15-514-x1990001_12,Do not load to OLC,Do not load to OLC,15-514-X1990001,
primary128085,Partial portrait of farm investments in environmental protection,article21-004-x200410213032_12,,Do not load to OLC,21-004-X200410213032,
primary122131,Challenges of Measuring an Ethnic World,publication91-515-x_12,Discontinued/Not available,Do not load to OLC,91-515-X,
primary128790,"Immigrants in Canada, Selected Highlights",publication89-510-x_12,Discontinued/Not available,Do not load to OLC,89-510-X,
primary135361,Canada's Changing Immigrant Population (Focus on Canada Series: Analytical Products: 1991 Census of Population),publication96-311-x_12,Discontinued/Not available,Do not load to OLC,96-311-X,
primary123595,The labour market mid-year report [1990],article11-010-x19900091536_12,,Do not load to OLC,11-010-X19900091536,
primary123800,Year-end review [1998],article11-010-x19990044537_12,,Do not load to OLC,11-010-X19990044537,
primary123848,Year-end review [2000],article11-010-x20010045616_12,,Do not load to OLC,11-010-X20010045616,
primary128816,Dimensions of Job-family Tension,publication89-540-x_12,Discontinued/Not available,Do not load to OLC,89-540-X,
primary128793,Caring Communities: Proceedings of the Symposium on Social Supports,publication89-514-x_12,Ongoing/Available,Do not load to OLC,89-514-X,
primary123751,Year-end review [1996],article11-010-x19970043020_12,,Do not load to OLC,11-010-X19970043020,
primary128846,Parent-child Exchanges of Supports and Intergenerational Equity,publication89-557-x_12,Discontinued/Not available,Do not load to OLC,89-557-X,
primary133675,Divorce: Law and the Family in Canada,publication89-502-x_12,Discontinued/Not available,Do not load to OLC,89-502-X,
primary128796,Marrying and Divorcing: A Status Report for Canada,publication89-517-x_12,Ongoing/Available,Do not load to OLC,89-517-X,
primary128786,Intermetropolitan Migration in Canada: Changing Determinants Over Three Decades,publication89-504-x_12,Discontinued/Not available,Do not load to OLC,89-504-X,
primary128787,"Longevity and Historical Life Tables, 1921-1981 (Abridged): Canada and the Provinces",publication89-506-x_12,Discontinued/Not available,Do not load to OLC,89-506-X,
primary128789,Family and Friendship Ties Among Canada's Seniors: An Introductory Report of Findings from the General Social Survey,publication89-508-x_12,Ongoing/Available,Do not load to OLC,89-508-X,
primary124551,The use of community corrections in Canada: 1993-94,article85-002-x19950048208_12,Do not load to OLC,Do not load to OLC,85-002-X19950048208,
primary136530,How resilient is the services sector to recession?,article63-016-x19970033457_12,Do not load to OLC,Do not load to OLC,63-016-X19970033457,
primary126597,Public perceptions of crime and the criminal justice system,article85-002-x19910018158_12,Do not load to OLC,Do not load to OLC,85-002-X19910018158,
primary124346,Annual hospital statistics - 1987-88,article82-003-s19910011989_12,Do not load to OLC,Do not load to OLC,82-003-S19910011989,
primary127421,Imports by Country,publication65-006-x_12,Discontinued/Not available,Do not load to OLC,65-006-X,
primary127782,Imports by Commodity,publication65-007-x_12,Discontinued/Not available,Do not load to OLC,65-007-X,
primary124797,Land statistics for Canada,article11-528-x19960013158_12,Do not load to OLC,Do not load to OLC,11-528-X19960013158,
primary131706,Summerfallow out of favour in Western Canada,article96-325-x19960014823_12,Do not load to OLC,Do not load to OLC,96-325-X19960014823,
primary131515,Canadian farm operator study:  Methodology,article82-003-s19900021960_12,Do not load to OLC,Do not load to OLC,82-003-S19900021960,
primary126736,"Profile of Census Tracts in Abbotsford, Chilliwack and Vancouver, 2006 Census",cens_tbtp95-577-x_12,Discontinued/Not available,,95-577-X,
primary126631,"Profile of Census Tracts in Edmonton, 2006 Census",cens_tbtp95-574-x_12,Discontinued/Not available,,95-574-X,
primary126225,"Profile of Census Tracts in St. John's, 2006 Census",cens_tbtp95-558-x_12,Discontinued/Not available,,95-558-X,
primary123185,The Inuit,article11-008-x19890031213_12,,Do not load to OLC,11-008-X19890031213,
primary128834,"Imports, Merchandise Trade",publication65-203-x_12,Discontinued/Not available,Do not load to OLC,65-203-X,
primary126692,"Exports, Merchandise Trade",publication65-202-x_12,Discontinued/Not available,Do not load to OLC,65-202-X,
primary124053,The Annual Report of Statistics Canada,publication11-201-x_12,Discontinued/Not available,Do not load to OLC,11-201-X,
primary122134,"Intercensal Annual Estimates of Population by Marital Status, Age and Sex for Canada, Provinces and Territories, 1981-1986",publication91-519-x_12,Discontinued/Not available,Do not load to OLC,91-519-X,
primary122161,Family Over the Life Course,publication91-543-x_12,Discontinued/Not available,Do not load to OLC,91-543-X,
primary125854,Exports by Country,publication65-003-x_12,Discontinued/Not available,Do not load to OLC,65-003-X,
primary128104,Geographical Patterns of Socio-economic Well-being of First Nations Communities,issue21-006-x1999008_12,Last completed issue,Do not load to OLC,21-006-X1999008,
primary123075,The socio-demographic conditions of registered Indians,article11-008-x19860031318_12,,Do not load to OLC,11-008-X19860031318,
primary122150,Marriage and Conjugal Life in Canada,publication91-534-x_12,Discontinued/Not available,Do not load to OLC,91-534-X,
primary131495,Age and Sex - Aboriginal Data (Aboriginal Peoples Products: Data Products: 1991 Census of Population),cens_tbtp94-327-x_12,Discontinued/Not available,,94-327-X,
primary129060,Aboriginal Community Profiles: Complete Subscription Package - New Brunswick,publication89f0011x_12,Do not load to OLC,Do not load to OLC,89F0011X,
primary135765,Aboriginal Community Profiles: Complete Subscription Package - Yukon,publication89f0018x_12,Do not load to OLC,Do not load to OLC,89F0018X,
primary128922,"Trade Patterns: Canada-United States: The Manufacturing Industries, 1981-1991",publication65-504-x_12,Replaced by other language,Do not load to OLC,65-504-X,
primary122210,Preliminary Statement of Canadian International Trade,publication65-001-p_12,Discontinued/Not available,Do not load to OLC,65-001-P,
primary123404,Language and culture of the Métis people,article11-008-x19960032871_12,,Do not load to OLC,11-008-X19960032871,
primary129074,Aboriginal Community Profiles: Complete Subscription Package - British Columbia,publication89f0017x_12,Do not load to OLC,Do not load to OLC,89F0017X,
primary129080,Aboriginal Community Profiles: Complete Subscription Package - Northwest Territories,publication89f0019x_12,Do not load to OLC,Do not load to OLC,89F0019X,
primary130619,Aboriginal Community Profiles: Complete Subscription Package - Nova Scotia,publication89f0010x_12,Do not load to OLC,Do not load to OLC,89F0010X,
primary129083,Aboriginal Community Profiles: Complete Subscription Package - Canada,publication89f0020x_12,Do not load to OLC,Do not load to OLC,89F0020X,
primary129068,Aboriginal Community Profiles: Complete Subscription Package - Saskatchewan,publication89f0015x_12,Do not load to OLC,Do not load to OLC,89F0015X,
primary129071,Aboriginal Community Profiles: Complete Subscription Package - Alberta,publication89f0016x_12,Do not load to OLC,Do not load to OLC,89F0016X,
primary129062,Aboriginal Community Profiles: Complete Subscription Package - Quebec,publication89f0012x_12,Do not load to OLC,Do not load to OLC,89F0012X,
primary135764,Aboriginal Community Profiles: Complete Subscription Package - Manitoba,publication89f0014x_12,Do not load to OLC,Do not load to OLC,89F0014X,
primary129064,Aboriginal Community Profiles: Complete Subscription Package - Ontario,publication89f0013x_12,Do not load to OLC,Do not load to OLC,89F0013X,
primary122144,"Intercensal Estimates of Families, Canada and Provinces, 1981-1986",publication91-529-x_12,Discontinued/Not available,Do not load to OLC,91-529-X,
primary129396,Introduction to Population Estimates,publication91f0004g_12,Do not load to OLC,Do not load to OLC,91F0004G,
